Mode,focal_length,image_width,image_height,cx,cy,aspect_ratio,k1,k2,t1,t2,k3,End,,,,,,,,
4K-wide (Fisheye),4,3840,2160,1,0,0,1080,1920,-1.76E+03,0,1.61E-04,-5.83E-09,2.71E-12,-9.85E+00,-4.41E+01,5.42E+01,5.27E+02,2.63E+03,3.21E+03,
720-wide (Fisheye),5,1280,720,1,0,0,360,640,-6.69E+02,0,4.27E-04,-3.13E-08,2.98E-11,11.835339,103.867746,315.163965,1073.539384,1239.194923,,
2.7k-wide (Fisheye),5,2704,1520,1,0,0,760,1352,1.39E+03,0,2.10E-04,-1.53E-08,6.54E-12,-13.677168,-60.432179,11.5226,419.701202,2107.377368,2556.469482,
2.7-4:3-wide (Fisheye),5,2704,2028,1,0,0,1014,1352,-1.34E+03,0,2.12E-04,-1.10E-08,6.01E-12,-7.42934,-29.733583,61.160918,440.786293,2033.657963,2453.885611,
1440-wide (Fisheye),5,1920,1440,1,0,0,720,960,-9.57E+02,0,3.17E-04,-6.04E-08,3.84E-11,-28.508766,-160.783823,-283.962865,-61.246076,1241.39123,1706.746161,
1080-wide (Fisheye),5,1920,1080,1,0,0,540,960,-9.94E+02,0,2.91E-04,-2.16E-08,1.25E-11,-2.587251,1.850408,119.023502,433.302675,1581.685927,1840.677016,
4K-4:3-wide (Fisheye),5,4000,3000,1,0,0,1500,2000,-1.76E+03,0,1.53E-04,5.56E-10,1.37E-12,4.68385,36.12399,118.064707,321.92938,742.805274,2711.296793,3230.140439
1440-narrow,1916,1920,1440,720,960,1,-0.2697,0.097,0.00E+00,0,0.00E+00,0.00E+00,,,,,,,,
2.7-4:3-narrow,2383,2704,2028,1014,1352,1,-0.274,0.108,0.00E+00,0,0.00E+00,0.00E+00,,,,,,,,
1080-narrow,2005,1920,1080,540,960,1,-0.2728,0.1051,0.00E+00,0,0.00E+00,0.00E+00,,,,,,,,
720-narrow,1354,1280,720,360,640,1,-0.2742,0.1091,0.00E+00,0,0.00E+00,0.00E+00,,,,,,,,
2.7k-narrow,2801,2704,1520,760,1352,1,-0.2742,0.1076,0.00E+00,0,0.00E+00,0.00E+00,,,,,,,,
